title,description,website,main_cat_1,main_cat_2,tag_1,tag_2,tag_3,tags
]Project Open[,]project-open[ is an open-source based Project-ERP for medium and small project oriented companies.,http://www.project-open.com/,BUSINESS TOOLS,DEVELOPER TOOLS,,,,
1 Million Free Pictures,It is a repository of thousands of 100% free pictures!,https://www.1millionfreepictures.com/,CREATIVE,,PHOTO STOCKS,BLOG,,
1.1.1.1,"You are one step away from browsing a faster, more private Internet",https://1.1.1.1/dns/,DEVELOPER TOOLS,,DNS,SECURITY,,
17 Goals,Learn about the SDGs,http://17goals.org,NONPROFITS,,GLOBAL GOALS,SUSTAINABILITY,,
260by26 Education,Educational equity and social innovation working to ensure 260 million children have quality education by 2026,https://www.260by26.org,NONPROFITS,,EDUCATION,SUSTAINABILITY,,
38 Degrees – United Kingdom (UK),"An online campaigning organisation, involving more than 2 million people from every corner of the UK.",https://home.38degrees.org.uk,NONPROFITS,,ONLINE PETITION,,,
43North,"With $5 MILLION in investment, 43North is a startup competition unlike any other.",https://www.43north.org/,RESOURCE BASES,,INCUBATOR,STARTUPS,,
48Forward Germany,Events about Innovation and Future Topics,https://48forward.com,RESOURCE BASES,,EVENTS,,,
500 Startups,"Meet our global community of founders, mentors, and investors",https://500.co/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
972VC,Crowdfunding Platforms in Israel,https://972vc.com/crowdfunding/,ENTREPRENEURIAL RESOURCES,,CROWDFUNDING,,,
AABAN Business Angels Network,"We are a nonprofit association and exclusively private, with the aim of boosting the Andalusian ecosystem of seed investment in startups.",https://aaban.org/,NONPROFITS,,FUNDING,,,
Abila,ASSOCIATION MANAGEMENT SOFTWARE,http://www.abila.com,BUSINESS TOOLS,,,,,
ABS Free Pic,A high-resolution and absolutely free photos stock site with only one type of licence: (CC0 Public Domain).,http://absfreepic.com/,CREATIVE,,PHOTO STOCKS,,,
Academic Earth,The first collection of free online college courses from the world’s top universities,https://academicearth.org,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Accelerace,The most tailored accelerator in Europe,https://www.accelerace.io/accelerator/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Acorns,Invest your spare change,https://www.acorns.com/,ACCOUNTING & FINANCE,,INVESTMENT,,,
AcquiredBy,AcquiredBy is a growing database of tech industry acquisitions.,https://acquiredby.co/,RESOURCE BASES,,COMPANY,RESEARCH,STARTUPS,
Active Campaign,Email Marketing. Marketing Automation. Sales CRM. Messaging.,https://www.activecampaign.com/,MARKETING,,,,,
AddThis,Free Website Tools like Sharing Buttons,https://www.addthis.com/,MARKETING,,ANALYTICS,,,
AddToAny,Universal Sharing,https://www.addtoany.com/,MARKETING,CREATIVE,ANALYTICS,,,
Adept,"CoinDesk is the leading digital media, events and information services company for the crypto asset and blockchain technology community.",https://www.coindesk.com,RESOURCE BASES,,BLOCKCHAIN,,,
AdFly,The URL shortener service that pays you,http://adf.ly/,BUSINESS TOOLS,,ANALYTICS,,,"[""PHOTO STOCKS"",""BLOG""]"
Adioso,Flight search. Reinvented for humans.,https://adioso.com/,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,"[""SECURITY"",""DNS""]"
Adobe Color,Discover color trends in different industries from the creative communities at Behance and Adobe Stock.,https://color.adobe.com/de/create/color-wheel/,CREATIVE,,BRANDING,,,"[""GLOBAL GOALS"",""SUSTAINABILITY""]"
Adobe XD,"Wireframe, design, prototype, present, and share amazing experiences for web, mobile, voice, and more — all in one app.",https://www.adobe.com/products/xd.html,CREATIVE,,PROTOTYPING,,,"[""EDUCATION"", ""SUSTAINABILITY""]"
Advocacy Accelerator,An innovative platform for driving greater impact for grassroots and national advocates in Africa,https://www.advocacyaccelerator.org,NONPROFITS,,,,,"[""UK"",""UNITED KINGDOM"", ""ONLINE PETITION""]"
Advocate Europe,Advocate Europe is an idea challenge and civic incubator for European initiatives,https://advocate-europe.eu,RESOURCE BASES,,EVENTS,,,"[""INCUBATOR"", ""STARTUPS""]"
AENOR Internacional Spain,"Colecciones de normas con actualización automática y acceso on-line, clasificadas por sectores o diseñadas a medida.",https://www.aenor.com/,RESOURCE BASES,,,,,"[""EVENTS""]"
Aeternity,Scalable smart contracts interfacing with real-world data.,https://www.aeternity.com,DEVELOPER TOOLS,LEGAL,BLOCKCHAIN,,,"[""ACCELERATOR"", ""STARTUPS""]"
African Union (AU),A continental body consisting of the 55 member states that make up the countries of the African Continent.,https://au.int,NONPROFITS,,INTERNATIONAL ORGANIZATION,,,"[""CROWDFUNDING""]"
Africana Studies – Penn Arts & Science,Africana Studies at the University of Pennsylvania,https://africana.sas.upenn.edu,RESOURCE BASES,,,,,"[""NONPROFIT"",""STARTUPS"",""SPAIN""]"
Agencia Española de Protección de Datos (AGPD),The independent public authority responsible for ensuring the privacy and protection of citizens' data in Spain.,http://www.agpd.es/portalwebAGPD/index-ides-idphp.php,RESOURCE BASES,,,,,
Agencia Estatal de Meteorología (AEMET) – Spain,"The State Meteorological Agency succeeded in 2008 the then General Directorate of the National Meteorological Institute, with more than 150 years of history.",http://www.aemet.es/,RESOURCE BASES,,,,,"[""PHOTO STOCKS""]"
AI Crowd,"AIcrowd enables data science experts and enthusiasts to collaboratively solve real-world problems, through challenges.",https://www.aicrowd.com/,DEVELOPER TOOLS,,DATA SCIENCE,,,"[""MOOCs"",""ONLINE LEARNING"",""EDUCATION""]"
AIE Student Guide,A public service website developed to help students plan and complete their journey through higher education.,https://www.aie.org,PERSONAL & PROFESSIONAL DEV,,YOUTH,EDUCATION,,
AIFE AI,Launch a big digital footprint in 60 seconds,https://aife.ai,MARKETING,,,,,
Airtable,"Part spreadsheet, part database, and entirely flexible, teams use Airtable to organize their work, their way.",https://airtable.com/,PROJECT MANAGEMENT,,,,,
Akaunting,"From invoicing to expense tracking to accounting, Akaunting has all the tools you need to manage your money online, for free.",https://akaunting.com/,ACCOUNTING & FINANCE,BUSINESS TOOLS,,,,
Al Jazeera,An independent news organization funded in part by the Qatari government.,https://www.aljazeera.com,RESOURCE BASES,,NEWS,,,
Alchemist Accelerator,Exclusively for Founders Whose Revenue Comes from Enterprises,https://alchemistaccelerator.com/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Alison,Empower Yourself,https://alison.com,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,"[""BLOCKCHAIN"",""COMMUNITY"",""EVENTS""]"
Alpaca API,Alpaca API lets you build and trade with real-time market data for free.,https://alpaca.markets/,DEVELOPER TOOLS,,,,,
Alphabetical list of CSS Properties (Open Web Reference),,http://ref.openweb.io/CSS/,DEVELOPER TOOLS,,,,,
Amazon NGO Donations,,https://org.amazon.com,NONPROFITS,,,,,
Amazon Web Services (AWS) for Nonprofits,AWS for Nonprofits & NGOs,https://aws.amazon.com/government-education/nonprofits/,NONPROFITS,DEVELOPER TOOLS,,,,
AMCharts,Programming library for all your data visualization needs.,https://www.amcharts.com/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,
American Civil Liberties Union (ACLU) – United States (US),"The American Civil Liberties Union is a nonprofit organization founded in 1920 ""to defend and preserve the individual rights and liberties guaranteed to every person in this country by the Constitution and laws of the United States""",https://www.aclu.org,NONPROFITS,,,,,
AMI responsivedesign,Am I Responsive?,http://ami.responsivedesign.is/,BUSINESS TOOLS,DEVELOPER TOOLS,,,,"[""SPAIN""]"
